3
48,50
-2.93688,1.78629,0.0902742
-2.63667,2.16935,0.242718
-3.16179,2.00686,-0.595584
-2.93106,1.83004,-0.454818
-2.53107,1.60398,-0.143474
-2.71217,1.64635,0.0379823
-3.07751,2.10522,0.00726591
-2.84488,1.49046,-0.238532
-2.88696,1.3656,0.0157698
-2.44636,1.64838,-0.596447
-2.93927,1.92359,-0.0874891
-3.21118,1.49901,-0.195476
-2.33065,1.54931,-0.465951
-2.28842,1.83035,0.0867548
-2.53775,1.79128,-0.16543
-2.68518,1.7993,-0.518275
-2.20732,1.50946,-0.280023
-2.67599,1.37065,-0.320344
-2.98405,2.00937,-0.0353615
-2.68357,2.20948,0.161003
-2.37067,1.64559,-0.0947425
-2.31478,1.56546,0.111514
-2.17084,1.48385,-0.587622
-2.45658,1.82249,0.304383
-2.62434,2.25637,-0.473918
-2.78808,1.60894,0.0341037
-2.64092,1.43937,0.252286
-2.25552,1.80112,0.331661
-2.91043,1.85482,0.0497519
-2.28036,2.209,-0.0320483
-2.45393,1.87608,0.322264
-2.88324,1.59905,-0.403549
-2.1063,1.46595,-0.210972
-3.02849,2.04712,0.320238
-2.05868,1.46053,0.28533
-2.86717,1.7102,-0.397006
-2.16764,2.10702,-0.248916
-2.24992,1.88925,0.26093
-2.25283,2.01657,-0.175522
-2.53765,1.77395,-0.257797
-2.90427,1.35777,0.327006
-2.91657,1.51227,-0.365224
-2.65469,1.44372,-0.190547
-2.20024,1.45297,-0.434698
-2.21457,1.43204,-0.265445
-2.26381,1.60262,0.153478
-2.99538,1.47273,-0.0307757
-2.57887,2.26056,-0.432799
-2.65251,2.04548,0.292493
-2.1626,1.54558,-0.224831
-2.75497,1.67906,-0.158338
-2.76254,1.80023,0.0626579
-2.46233,2.18329,0.215101
-2.98745,2.0208,-0.6232
-2.75672,1.84398,-0.482434
-2.35673,1.61792,-0.17109
-2.53782,1.66029,0.010366
-2.90317,2.11916,-0.0203505
-2.67054,1.5044,-0.266148
-2.71262,1.37955,-0.0118466
-2.27202,1.66232,-0.624063
-2.76493,1.93754,-0.115105
-3.03684,1.51295,-0.223093
-2.15631,1.56326,-0.493567
-2.11408,1.84429,0.0591384
-2.41511,1.78883,-0.13306
-2.56254,1.79685,-0.485905
-2.08469,1.50701,-0.247653
-2.55336,1.36821,-0.287974
-2.86141,2.00692,-0.00299167
-2.56094,2.20703,0.193373
-2.24804,1.64314,-0.0623727
-2.19215,1.56302,0.143884
-2.04821,1.48141,-0.555252
-2.33394,1.82004,0.336752
-2.50171,2.25392,-0.441549
-2.66545,1.60649,0.0664735
-2.51829,1.43692,0.284656
-2.13288,1.79868,0.364031
-2.7878,1.85238,0.0821217
-2.15773,2.20656,0.000321446
-2.3313,1.87363,0.354634
-2.76061,1.5966,-0.37118
-1.98367,1.46351,-0.178602
-2.90586,2.04468,0.352608
-1.93605,1.45808,0.3177
-2.74454,1.70775,-0.364636
-2.045,2.10458,-0.216546
-2.12729,1.88681,0.293299
-2.1302,2.01412,-0.143152
-2.41501,1.77151,-0.225427
-2.78163,1.35532,0.359375
-2.79394,1.50983,-0.332854
-2.53206,1.44127,-0.158177
-2.0776,1.45053,-0.402328
-2.09193,1.4296,-0.233075
-2.14117,1.60018,0.185848
-2.87275,1.47029,0.00159407
-2.45624,2.25811,-0.400429
-2.52988,2.04303,0.324863
-2.03997,1.54313,-0.192461
-2.63234,1.67661,-0.125969
-2.6399,1.79779,0.0950277
-2.3397,2.18084,0.247471
-2.86481,2.01836,-0.59083
-2.63408,1.84154,-0.450065
-2.2341,1.61548,-0.13872
-2.41519,1.65784,0.0427358
-2.78053,2.11672,0.0120193
-2.5479,1.50196,-0.233779
-2.58998,1.3771,0.0205232
-2.14938,1.65988,-0.591694
-2.64229,1.93509,-0.0827357
-2.9142,1.51051,-0.190723
-2.03367,1.56081,-0.461198
-1.99144,1.84184,0.0915082
-2.05784,1.92639,-0.0972597
-2.20527,1.93442,-0.450105
-1.72742,1.64458,-0.211853
-2.19609,1.50577,-0.252174
-2.50414,2.14448,0.0328085
-2.20367,2.34459,0.229173
-1.89077,1.78071,-0.0265725
-1.83487,1.70058,0.179684
-1.69094,1.61897,-0.519452
-1.97667,1.9576,0.372553
-2.14444,2.39149,-0.405748
-2.30817,1.74406,0.102274
-2.16102,1.57448,0.320456
-1.77561,1.93624,0.399831
