3
79,25
-3,2,0
-2.96064,1.97846,0.260707
-2.66508,1.97919,0.140509
-3.22574,1.59357,0.251312
-3.40362,2.40315,0.406429
-3.47312,1.82454,-0.16575
-3.48019,2.33464,0.0148257
-3.3622,1.69544,-0.115448
-3.33639,1.66145,-0.328896
-3.10293,1.66782,0.412326
-3.42365,2.14283,-0.219933
-2.91435,1.68219,0.258532
-3.15365,1.51711,-0.262277
-2.51314,1.79137,-0.168709
-2.76183,1.88775,-0.265558
-2.8554,1.91463,0.0589773
-2.52115,1.93444,-0.106386
-3.00632,2.07224,0.0890501
-2.62177,2.23585,0.250502
-3.45066,1.63292,0.418326
-2.53834,1.70927,0.0611558
-3.25827,2.29492,0.243343
-3.49974,1.64127,0.260451
-3.26202,1.62813,-0.448181
-2.93073,2.36631,-0.0604351
-2.69628,2.01091,0.354192
-2.78245,2.16239,-0.0695888
-2.74309,2.14086,0.191118
-2.44753,2.14158,0.07092
-3.00819,1.75596,0.181724
-3.18607,2.56554,0.33684
-3.25557,1.98693,-0.235339
-3.26264,2.49703,-0.0547631
-3.14465,1.85783,-0.185037
-3.11884,1.82384,-0.398485
-2.88538,1.83022,0.342737
-3.2061,2.30522,-0.289521
-2.69681,1.84458,0.188943
-2.9361,1.6795,-0.331866
-2.29559,1.95376,-0.238298
-2.54428,2.05014,-0.335147
-2.63785,2.07702,-0.0106115
-2.3036,2.09683,-0.175975
-2.78877,2.23463,0.0194613
-2.40422,2.39824,0.180913
-3.23312,1.79531,0.348737
-2.32079,1.87166,-0.00843301
-3.04072,2.45731,0.173754
-3.28219,1.80366,0.190862
-3.04447,1.79052,-0.51777
-2.71318,2.5287,-0.130024
-2.47873,2.1733,0.284604
-2.71355,2.05709,-0.138116
-2.67419,2.03556,0.122592
-2.37863,2.03628,0.00239331
-2.93929,1.65066,0.113197
-3.11717,2.46024,0.268313
-3.18667,1.88163,-0.303866
-3.19374,2.39173,-0.12329
-3.07575,1.75253,-0.253564
-3.04994,1.71854,-0.467011
-2.81648,1.72492,0.274211
-3.1372,2.19992,-0.358048
-2.6279,1.73928,0.120417
-2.8672,1.5742,-0.400392
-2.22669,1.84846,-0.306825
-2.47538,1.94484,-0.403674
-2.56895,1.97172,-0.0791382
-2.2347,1.99153,-0.244501
-2.71987,2.12933,-0.0490654
-2.33532,2.29294,0.112386
-3.16421,1.69001,0.28021
-2.25189,1.76636,-0.0769597
-2.97182,2.35201,0.105227
-3.21329,1.69836,0.122336
-2.97557,1.68522,-0.586297
-2.64428,2.4234,-0.198551
-2.40983,2.068,0.216077
-2.63955,1.97139,-0.0595006
-2.60019,1.94985,0.201207
-2.30463,1.95058,0.0810082
-2.86529,1.56496,0.191812
-3.04317,2.37454,0.346928
-3.11267,1.79593,-0.225251
-3.11974,2.30603,-0.0446749
-3.00175,1.66683,-0.174949
-2.97594,1.63284,-0.388396
-2.74248,1.63921,0.352826
